Title,All_Words
The Shawshank Redemption,timrobbins morganfreeman bobgunton frankdarabont crime  drama T h e   S h a w s h a n k   R e d e m p t i o n common decency number eventual redemption years two imprisoned men bond acts finding solace t i m r o b b i n s   m o r g a n f r e e m a n   b o b g u n t o n   f r a n k d a r a b o n t   c r i m e     d r a m a   T   h   e       S   h   a   w   s   h   a   n   k       R   e   d   e   m   p   t   i   o   n   c o m m o n   d e c e n c y   n u m b e r   e v e n t u a l   r e d e m p t i o n   y e a r s   t w o   i m p r i s o n e d   m e n   b o n d   a c t s   f i n d i n g   s o l a c e   
The Godfather,marlonbrando alpacino jamescaan francisfordcoppola crime  drama T h e   G o d f a t h e r clandestine empire organized crime dynasty transfers control aging patriarch reluctant son m a r l o n b r a n d o   a l p a c i n o   j a m e s c a a n   f r a n c i s f o r d c o p p o l a   c r i m e     d r a m a   T   h   e       G   o   d   f   a   t   h   e   r   c l a n d e s t i n e   e m p i r e   o r g a n i z e d   c r i m e   d y n a s t y   t r a n s f e r s   c o n t r o l   a g i n g   p a t r i a r c h   r e l u c t a n t   s o n   
The Godfather: Part II,alpacino robertduvall dianekeaton francisfordcoppola crime  drama T h e   G o d f a t h e r :   P a r t   I I son tightens portrayed early life vito corleone grip expands 1920s new york career michael family crime syndicate a l p a c i n o   r o b e r t d u v a l l   d i a n e k e a t o n   f r a n c i s f o r d c o p p o l a   c r i m e     d r a m a   T   h   e       G   o   d   f   a   t   h   e   r   :       P   a   r   t       I   I   s o n   t i g h t e n s   p o r t r a y e d   e a r l y   l i f e   v i t o   c o r l e o n e   g r i p   e x p a n d s   1 9 2 0 s   n e w   y o r k   c a r e e r   m i c h a e l   f a m i l y   c r i m e   s y n d i c a t e   
The Dark Knight,christianbale heathledger aaroneckhart christophernolan action  crime  drama T h e   D a r k   K n i g h t fight injustice joker emerges people menace known gotham mysterious past physical tests ability greatest psychological chaos dark knight must accept one wreaks havoc c h r i s t i a n b a l e   h e a t h l e d g e r   a a r o n e c k h a r t   c h r i s t o p h e r n o l a n   a c t i o n     c r i m e     d r a m a   T   h   e       D   a   r   k       K   n   i   g   h   t   f i g h t   i n j u s t i c e   j o k e r   e m e r g e s   p e o p l e   m e n a c e   k n o w n   g o t h a m   m y s t e r i o u s   p a s t   p h y s i c a l   t e s t s   a b i l i t y   g r e a t e s t   p s y c h o l o g i c a l   c h a o s   d a r k   k n i g h t   m u s t   a c c e p t   o n e   w r e a k s   h a v o c   
12 Angry Men,martinbalsam johnfiedler leej.cobb sidneylumet crime  drama 1 2   A n g r y   M e n evidence reconsider colleagues justice prevent jury holdout attempts miscarriage forcing m a r t i n b a l s a m   j o h n f i e d l e r   l e e j . c o b b   s i d n e y l u m e t   c r i m e     d r a m a   1   2       A   n   g   r   y       M   e   n   e v i d e n c e   r e c o n s i d e r   c o l l e a g u e s   j u s t i c e   p r e v e n t   j u r y   h o l d o u t   a t t e m p t s   m i s c a r r i a g e   f o r c i n g   
Schindler's List,liamneeson benkingsley ralphfiennes stevenspielberg biography  drama  history S c h i n d l e r ' s   L i s t persecution witnessing occupied poland nazi germans jewish workforce german world war ii oskar schindler gradually becomes concerned l i a m n e e s o n   b e n k i n g s l e y   r a l p h f i e n n e s   s t e v e n s p i e l b e r g   b i o g r a p h y     d r a m a     h i s t o r y   S   c   h   i   n   d   l   e   r   '   s       L   i   s   t   p e r s e c u t i o n   w i t n e s s i n g   o c c u p i e d   p o l a n d   n a z i   g e r m a n s   j e w i s h   w o r k f o r c e   g e r m a n   w o r l d   w a r   i i   o s k a r   s c h i n d l e r   g r a d u a l l y   b e c o m e s   c o n c e r n e d   
The Lord of the Rings: The Return of the King,noelappleby aliastin seanastin peterjackson adventure  drama  fantasy T h e   L o r d   o f   t h e   R i n g s :   T h e   R e t u r n   o f   t h e   K i n g gandalf men approach mount doom gaze world sauron army aragorn lead one ring draw sam frodo n o e l a p p l e b y   a l i a s t i n   s e a n a s t i n   p e t e r j a c k s o n   a d v e n t u r e     d r a m a     f a n t a s y   T   h   e       L   o   r   d       o   f       t   h   e       R   i   n   g   s   :       T   h   e       R   e   t   u   r   n       o   f       t   h   e       K   i   n   g   g a n d a l f   m e n   a p p r o a c h   m o u n t   d o o m   g a z e   w o r l d   s a u r o n   a r m y   a r a g o r n   l e a d   o n e   r i n g   d r a w   s a m   f r o d o   
Pulp Fiction,timroth amandaplummer lauralovelace quentintarantino crime  drama P u l p   F i c t i o n lives two mob hit men pair wife violence boxer gangster diner bandits intertwine redemption four tales t i m r o t h   a m a n d a p l u m m e r   l a u r a l o v e l a c e   q u e n t i n t a r a n t i n o   c r i m e     d r a m a   P   u   l   p       F   i   c   t   i   o   n   l i v e s   t w o   m o b   h i t   m e n   p a i r   w i f e   v i o l e n c e   b o x e r   g a n g s t e r   d i n e r   b a n d i t s   i n t e r t w i n e   r e d e m p t i o n   f o u r   t a l e s   
Fight Club,edwardnorton bradpitt meatloaf davidfincher drama F i g h t   C l u b forming insomniac office worker crosses paths evolves way life care soap maker looking may something much devil change underground fight club e d w a r d n o r t o n   b r a d p i t t   m e a t l o a f   d a v i d f i n c h e r   d r a m a   F   i   g   h   t       C   l   u   b   f o r m i n g   i n s o m n i a c   o f f i c e   w o r k e r   c r o s s e s   p a t h s   e v o l v e s   w a y   l i f e   c a r e   s o a p   m a k e r   l o o k i n g   m a y   s o m e t h i n g   m u c h   d e v i l   c h a n g e   u n d e r g r o u n d   f i g h t   c l u b   
The Lord of the Rings: The Fellowship of the Ring,alanhoward noelappleby seanastin peterjackson adventure  drama  fantasy T h e   L o r d   o f   t h e   R i n g s :   T h e   F e l l o w s h i p   o f   t h e   R i n g journey shire powerful one ring save middle earth eight companions set dark lord sauron destroy meek hobbit a l a n h o w a r d   n o e l a p p l e b y   s e a n a s t i n   p e t e r j a c k s o n   a d v e n t u r e     d r a m a     f a n t a s y   T   h   e       L   o   r   d       o   f       t   h   e       R   i   n   g   s   :       T   h   e       F   e   l   l   o   w   s   h   i   p       o   f       t   h   e       R   i   n   g   j o u r n e y   s h i r e   p o w e r f u l   o n e   r i n g   s a v e   m i d d l e   e a r t h   e i g h t   c o m p a n i o n s   s e t   d a r k   l o r d   s a u r o n   d e s t r o y   m e e k   h o b b i t   
Forrest Gump,tomhanks rebeccawilliams sallyfield robertzemeckis comedy  drama  romance F o r r e s t   G u m p forrest gump accidentally many historic moments jenny curran true love present eludes intelligent t o m h a n k s   r e b e c c a w i l l i a m s   s a l l y f i e l d   r o b e r t z e m e c k i s   c o m e d y     d r a m a     r o m a n c e   F   o   r   r   e   s   t       G   u   m   p   f o r r e s t   g u m p   a c c i d e n t a l l y   m a n y   h i s t o r i c   m o m e n t s   j e n n y   c u r r a n   t r u e   l o v e   p r e s e n t   e l u d e s   i n t e l l i g e n t   
Star Wars: Episode V - The Empire Strikes Back,markhamill harrisonford carriefisher irvinkershner action  adventure  fantasy S t a r   W a r s :   E p i s o d e   V   -   T h e   E m p i r e   S t r i k e s   B a c k newly established base darth vader hunts empire luke skywalker begins jedi training plan friends accept shelter rebels overpowered questionable ally master yoda capture m a r k h a m i l l   h a r r i s o n f o r d   c a r r i e f i s h e r   i r v i n k e r s h n e r   a c t i o n     a d v e n t u r e     f a n t a s y   S   t   a   r       W   a   r   s   :       E   p   i   s   o   d   e       V       -       T   h   e       E   m   p   i   r   e       S   t   r   i   k   e   s       B   a   c   k   n e w l y   e s t a b l i s h e d   b a s e   d a r t h   v a d e r   h u n t s   e m p i r e   l u k e   s k y w a l k e r   b e g i n s   j e d i   t r a i n i n g   p l a n   f r i e n d s   a c c e p t   s h e l t e r   r e b e l s   o v e r p o w e r e d   q u e s t i o n a b l e   a l l y   m a s t e r   y o d a   c a p t u r e   
Inception,leonardodicaprio josephgordon-levitt ellenpage christophernolan action  adventure  sci-fi I n c e p t i o n idea mind thief steals corporate secrets ceo sharing technology dream planting given use inverse task l e o n a r d o d i c a p r i o   j o s e p h g o r d o n - l e v i t t   e l l e n p a g e   c h r i s t o p h e r n o l a n   a c t i o n     a d v e n t u r e     s c i - f i   I   n   c   e   p   t   i   o   n   i d e a   m i n d   t h i e f   s t e a l s   c o r p o r a t e   s e c r e t s   c e o   s h a r i n g   t e c h n o l o g y   d r e a m   p l a n t i n g   g i v e n   u s e   i n v e r s e   t a s k   
The Lord of the Rings: The Two Towers,bruceallpress seanastin johnbach peterjackson adventure  drama  fantasy T h e   L o r d   o f   t h e   R i n g s :   T h e   T w o   T o w e r s new ally frodo shifty gollum stand hordes mordor sauron sam edge closer divided fellowship makes saruman isengard help b r u c e a l l p r e s s   s e a n a s t i n   j o h n b a c h   p e t e r j a c k s o n   a d v e n t u r e     d r a m a     f a n t a s y   T   h   e       L   o   r   d       o   f       t   h   e       R   i   n   g   s   :       T   h   e       T   w   o       T   o   w   e   r   s   n e w   a l l y   f r o d o   s h i f t y   g o l l u m   s t a n d   h o r d e s   m o r d o r   s a u r o n   s a m   e d g e   c l o s e r   d i v i d e d   f e l l o w s h i p   m a k e s   s a r u m a n   i s e n g a r d   h e l p   
One Flew Over the Cuckoo's Nest,michaelberryman peterbrocco deanr.brooks milosforman drama O n e   F l e w   O v e r   t h e   C u c k o o ' s   N e s t criminal pleads insanity rallies mental institution rebels scared patients oppressive nurse trouble getting m i c h a e l b e r r y m a n   p e t e r b r o c c o   d e a n r . b r o o k s   m i l o s f o r m a n   d r a m a   O   n   e       F   l   e   w       O   v   e   r       t   h   e       C   u   c   k   o   o   '   s       N   e   s   t   c r i m i n a l   p l e a d s   i n s a n i t y   r a l l i e s   m e n t a l   i n s t i t u t i o n   r e b e l s   s c a r e d   p a t i e n t s   o p p r e s s i v e   n u r s e   t r o u b l e   g e t t i n g   
Goodfellas,robertdeniro rayliotta joepesci martinscorsese crime  drama G o o d f e l l a s henry hill american crime syndicate mafia covering years life story wife karen mob partners jimmy conway tommy devitto teen italian relationship r o b e r t d e n i r o   r a y l i o t t a   j o e p e s c i   m a r t i n s c o r s e s e   c r i m e     d r a m a   G   o   o   d   f   e   l   l   a   s   h e n r y   h i l l   a m e r i c a n   c r i m e   s y n d i c a t e   m a f i a   c o v e r i n g   y e a r s   l i f e   s t o r y   w i f e   k a r e n   m o b   p a r t n e r s   j i m m y   c o n w a y   t o m m y   d e v i t t o   t e e n   i t a l i a n   r e l a t i o n s h i p   
The Matrix,"keanureeves laurencefishburne carrie-annemoss lanawachowski,lillywachowski action  sci-fi T h e   M a t r i x computer hacker learns reality true nature mysterious rebels role controllers war k e a n u r e e v e s   l a u r e n c e f i s h b u r n e   c a r r i e - a n n e m o s s   l a n a w a c h o w s k i , l i l l y w a c h o w s k i   a c t i o n     s c i - f i   T   h   e       M   a   t   r   i   x   c o m p u t e r   h a c k e r   l e a r n s   r e a l i t y   t r u e   n a t u r e   m y s t e r i o u s   r e b e l s   r o l e   c o n t r o l l e r s   w a r   "
Star Wars: Episode IV - A New Hope,markhamill harrisonford carriefisher georgelucas action  adventure  fantasy S t a r   W a r s :   E p i s o d e   I V   -   A   N e w   H o p e cocky pilot rescue princess leia jedi knight galaxy evil darth vader also attempting destroying battle empire world luke skywalker joins forces two droids wookiee save station m a r k h a m i l l   h a r r i s o n f o r d   c a r r i e f i s h e r   g e o r g e l u c a s   a c t i o n     a d v e n t u r e     f a n t a s y   S   t   a   r       W   a   r   s   :       E   p   i   s   o   d   e       I   V       -       A       N   e   w       H   o   p   e   c o c k y   p i l o t   r e s c u e   p r i n c e s s   l e i a   j e d i   k n i g h t   g a l a x y   e v i l   d a r t h   v a d e r   a l s o   a t t e m p t i n g   d e s t r o y i n g   b a t t l e   e m p i r e   w o r l d   l u k e   s k y w a l k e r   j o i n s   f o r c e s   t w o   d r o i d s   w o o k i e e   s a v e   s t a t i o n   
Se7en,morganfreeman andrewkevinwalker kevinspacey davidfincher crime  drama  mystery S e 7 e n hunt two detectives rookie uses serial killer seven deadly sins motives veteran m o r g a n f r e e m a n   a n d r e w k e v i n w a l k e r   k e v i n s p a c e y   d a v i d f i n c h e r   c r i m e     d r a m a     m y s t e r y   S   e   7   e   n   h u n t   t w o   d e t e c t i v e s   r o o k i e   u s e s   s e r i a l   k i l l e r   s e v e n   d e a d l y   s i n s   m o t i v e s   v e t e r a n   
It's a Wonderful Life,jamesstewart donnareed lionelbarrymore frankcapra drama  family  fantasy I t ' s   a   W o n d e r f u l   L i f e showing angel like never existed help heaven life would sent desperately frustrated businessman j a m e s s t e w a r t   d o n n a r e e d   l i o n e l b a r r y m o r e   f r a n k c a p r a   d r a m a     f a m i l y     f a n t a s y   I   t   '   s       a       W   o   n   d   e   r   f   u   l       L   i   f   e   s h o w i n g   a n g e l   l i k e   n e v e r   e x i s t e d   h e l p   h e a v e n   l i f e   w o u l d   s e n t   d e s p e r a t e l y   f r u s t r a t e d   b u s i n e s s m a n   
The Silence of the Lambs,jodiefoster lawrencea.bonney kasilemmons jonathandemme crime  drama  thriller T h e   S i l e n c e   o f   t h e   L a m b s catching another serial killer young f receive victims b manipulative cadet must confide skins incarcerated help j o d i e f o s t e r   l a w r e n c e a . b o n n e y   k a s i l e m m o n s   j o n a t h a n d e m m e   c r i m e     d r a m a     t h r i l l e r   T   h   e       S   i   l   e   n   c   e       o   f       t   h   e       L   a   m   b   s   c a t c h i n g   a n o t h e r   s e r i a l   k i l l e r   y o u n g   f   r e c e i v e   v i c t i m s   b   m a n i p u l a t i v e   c a d e t   m u s t   c o n f i d e   s k i n s   i n c a r c e r a t e d   h e l p   
The Usual Suspects,stephenbaldwin gabrielbyrne beniciodeltoro bryansinger crime  drama  mystery T h e   U s u a l   S u s p e c t s horrific gun battle seemingly random police lineup twisty events leading five criminals met boat began sole survivor tells s t e p h e n b a l d w i n   g a b r i e l b y r n e   b e n i c i o d e l t o r o   b r y a n s i n g e r   c r i m e     d r a m a     m y s t e r y   T   h   e       U   s   u   a   l       S   u   s   p   e   c   t   s   h o r r i f i c   g u n   b a t t l e   s e e m i n g l y   r a n d o m   p o l i c e   l i n e u p   t w i s t y   e v e n t s   l e a d i n g   f i v e   c r i m i n a l s   m e t   b o a t   b e g a n   s o l e   s u r v i v o r   t e l l s   
Léon: The Professional,jeanreno garyoldman natalieportman lucbesson crime  drama  thriller L é o n :   T h e   P r o f e s s i o n a l old girl year léon professional assassin unusual relationship protégée mathilda murdered 12 form learns family trade becomes reluctantly taken j e a n r e n o   g a r y o l d m a n   n a t a l i e p o r t m a n   l u c b e s s o n   c r i m e     d r a m a     t h r i l l e r   L   é   o   n   :       T   h   e       P   r   o   f   e   s   s   i   o   n   a   l   o l d   g i r l   y e a r   l é o n   p r o f e s s i o n a l   a s s a s s i n   u n u s u a l   r e l a t i o n s h i p   p r o t é g é e   m a t h i l d a   m u r d e r e d   1 2   f o r m   l e a r n s   f a m i l y   t r a d e   b e c o m e s   r e l u c t a n t l y   t a k e n   
Saving Private Ryan,tomhanks tomsizemore edwardburns stevenspielberg drama  war S a v i n g   P r i v a t e   R y a n group following retrieve action normandy landings killed u paratrooper whose brothers soldiers go behind enemy lines t o m h a n k s   t o m s i z e m o r e   e d w a r d b u r n s   s t e v e n s p i e l b e r g   d r a m a     w a r   S   a   v   i   n   g       P   r   i   v   a   t   e       R   y   a   n   g r o u p   f o l l o w i n g   r e t r i e v e   a c t i o n   n o r m a n d y   l a n d i n g s   k i l l e d   u   p a r a t r o o p e r   w h o s e   b r o t h e r s   s o l d i e r s   g o   b e h i n d   e n e m y   l i n e s   
City Lights,virginiacherrill florencelee harrymyers charleschaplin comedy  drama  romance C i t y   L i g h t s dewy eyed tramp fallen aid sightless flower girl accumulates money able medically love wealthy erratic tippler help v i r g i n i a c h e r r i l l   f l o r e n c e l e e   h a r r y m y e r s   c h a r l e s c h a p l i n   c o m e d y     d r a m a     r o m a n c e   C   i   t   y       L   i   g   h   t   s   d e w y   e y e d   t r a m p   f a l l e n   a i d   s i g h t l e s s   f l o w e r   g i r l   a c c u m u l a t e s   m o n e y   a b l e   m e d i c a l l y   l o v e   w e a l t h y   e r r a t i c   t i p p l e r   h e l p   
Interstellar,ellenburstyn matthewmcconaughey mackenziefoy christophernolan adventure  drama  sci-fi I n t e r s t e l l a r survival ensure humanity explorers travel space team wormhole attempt e l l e n b u r s t y n   m a t t h e w m c c o n a u g h e y   m a c k e n z i e f o y   c h r i s t o p h e r n o l a n   a d v e n t u r e     d r a m a     s c i - f i   I   n   t   e   r   s   t   e   l   l   a   r   s u r v i v a l   e n s u r e   h u m a n i t y   e x p l o r e r s   t r a v e l   s p a c e   t e a m   w o r m h o l e   a t t e m p t   
American History X,edwardnorton edwardfurlong beverlyd'angelo tonykaye crime  drama A m e r i c a n   H i s t o r y   X prevent going former neo nazi skinhead tries younger brother wrong path e d w a r d n o r t o n   e d w a r d f u r l o n g   b e v e r l y d ' a n g e l o   t o n y k a y e   c r i m e     d r a m a   A   m   e   r   i   c   a   n       H   i   s   t   o   r   y       X   p r e v e n t   g o i n g   f o r m e r   n e o   n a z i   s k i n h e a d   t r i e s   y o u n g e r   b r o t h e r   w r o n g   p a t h   
Modern Times,charleschaplin paulettegoddard henrybergman charleschaplin comedy  drama  family M o d e r n   T i m e s modern industrial society live young homeless woman tramp struggles help c h a r l e s c h a p l i n   p a u l e t t e g o d d a r d   h e n r y b e r g m a n   c h a r l e s c h a p l i n   c o m e d y     d r a m a     f a m i l y   M   o   d   e   r   n       T   i   m   e   s   m o d e r n   i n d u s t r i a l   s o c i e t y   l i v e   y o u n g   h o m e l e s s   w o m a n   t r a m p   s t r u g g l e s   h e l p   
Casablanca,humphreybogart ingridbergman paulhenreid michaelcurtiz drama  romance  war C a s a b l a n c a cynical american expatriate encounters december 1941 unforeseen complications former lover casablanca h u m p h r e y b o g a r t   i n g r i d b e r g m a n   p a u l h e n r e i d   m i c h a e l c u r t i z   d r a m a     r o m a n c e     w a r   C   a   s   a   b   l   a   n   c   a   c y n i c a l   a m e r i c a n   e x p a t r i a t e   e n c o u n t e r s   d e c e m b e r   1 9 4 1   u n f o r e s e e n   c o m p l i c a t i o n s   f o r m e r   l o v e r   c a s a b l a n c a   
